"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Song J.; Kim B.; Kwak M.; Lee B.; Seo E.; Jeong J.","Song, Jaehyun (57222710736); Kim, Bumsuk (59260070200); Kwak, Minwoo (59259838800); Lee, Byoungyoung (56434753000); Seo, Euiseong (14056969000); Jeong, Jinkyu (23397248100)","57222710736; 59260070200; 59259838800; 56434753000; 14056969000; 23397248100","A Secure, Fast, and Resource-Efficient Serverless Platform with Function REWIND","2024","Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024","","","","597","613","16","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201184904&partnerID=40&md5=187829f9fa12da8806044b16ccaa4f99","Serverless computing often utilizes the warm container technique to improve response times. However, this method, which allows the reuse of function containers across different function requests of the same type, creates persistent vulnerabilities in memory and file systems. These vulnerabilities can lead to security breaches such as data leaks. Traditional approaches to address these issues often suffer from performance drawbacks and high memory requirements due to the extensive use of user-level snapshots and complex restoration process. The paper introduces REWIND, an innovative and efficient serverless function execution platform designed to address these security and efficiency concerns. REWIND ensures that after each function request, the container is reset to an initial state free of any sensitive data, including a thorough restoration of the file system to prevent data leakage. It incorporates a kernel-level memory snapshot management system, which significantly lowers memory usage and accelerates the rewind process. Additionally, REWIND optimizes runtime by reusing memory regions and leveraging the temporal locality of function executions, enhancing performance while maintaining strict data isolation between requests. The prototype of REWIND is implemented on OpenWhisk and Linux and evaluated with serverless benchmark workloads. The evaluation results have demonstrated that REWIND provides substantial memory savings while providing high function execution performance. Especially, the low memory usage makes more warm containers kept alive thereby improving the throughput as well as the latency of function executions while providing isolation between function requests. © 2024 Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024. All rights reserved.","","Computer operating systems; File organization; Restoration; Sensitive data; Filesystem; Low memory; Memory requirements; Memory systems; Memory usage; Performance drawback; Resource-efficient; Reuse; Security breaches; Traditional approaches; Containers","USENIX Association","Futurewei Technologies; IBM; Meta; NetApp; NSF; USENIX Association","2024 USENIX Annual Technical Conference, ATC 2024","10 July 2024 through 12 July 2024","Santa Clara","201530","Conference paper","Final","","Scopus","2-s2.0-85201184904"
"Sun T.; Jiang B.; Li B.; Lv J.; Gao Y.; Dong W.","Sun, Tong (59151569200); Jiang, Bowen (59151087600); Li, Borui (57217088942); Lv, Jiamei (57203095089); Gao, Yi (55731336900); Dong, Wei (7202224406)","59151569200; 59151087600; 57217088942; 57203095089; 55731336900; 7202224406","SimEnc: A High-Performance Similarity-Preserving Encryption Approach for Deduplication of Encrypted Docker Images","2024","Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024","","","","615","630","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201206858&partnerID=40&md5=e591d61f8b756a42f769105c817f1295","Encrypted Docker images are becoming increasingly popular in Docker registries for privacy. As the Docker registry is tasked with managing an increasing number of images, it becomes essential to implement deduplication to conserve storage space. However, deduplication for encrypted images is difficult because deduplication exploits identical content, while encryption tries to make all contents look random. Existing state-of-the-art works try to decompress images and perform message-locked encryption (MLE) to deduplicate encrypted images. Unfortunately, our measurements uncover two limitations in current works: (i) even minor modifications to the image content can hinder MLE deduplication, (ii) decompressing image layers would increase the size of the storage for duplicate data, and significantly compromise user pull latency and deduplication throughput. In this paper, we propose SimEnc, a high-performance similarity-preserving encryption approach for deduplication of encrypted Docker images. SimEnc is the first work that integrates the semantic hash technique into MLE to extract semantic information among layers for improving the deduplication ratio. SimEnc builds on a fast similarity space selection mechanism for flexibility. Unlike existing works completely decompressing the layer, we explore a new similarity space by Huffman decoding that achieves a better deduplication ratio and performance. Experiments show that SimEnc outperforms both the state-of-the-art encrypted serverless platform and plaintext Docker registry, reducing storage consumption by up to 261.7% and 54.2%, respectively. Meanwhile, SimEnc can surpass them in terms of pull latency. © 2024 Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024. All rights reserved.","","Digital storage; Semantics; 'current; Art work; Deduplication; Encrypted images; Image content; Performance; Similarity preserving; Similarity spaces; State of the art; Storage spaces; Cryptography","USENIX Association","Futurewei Technologies; IBM; Meta; NetApp; NSF; USENIX Association","2024 USENIX Annual Technical Conference, ATC 2024","10 July 2024 through 12 July 2024","Santa Clara","201530","Conference paper","Final","","Scopus","2-s2.0-85201206858"
"Wei X.; Lu F.; Chen R.; Chen H.","Wei, Xingda (57112888500); Lu, Fangming (57440649500); Chen, Rong (56428216800); Chen, Haibo (55743141500)","57112888500; 57440649500; 56428216800; 55743141500","KRCORE: A Microsecond-scale RDMA Control Plane for Elastic Computing","2022","Proceedings of the 2022 USENIX Annual Technical Conference, ATC 2022","","","","121","136","15","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137705584&partnerID=40&md5=8e0b3c8c19436472fbc965abbced4d35","We present KRCORE, an RDMA library with a microsecondscale control plane on commodity RDMA hardware for elastic computing. KRCORE can establish a full-fledged RDMA connection within 10μs (hundreds or thousands of times faster than verbs), while only maintaining a (small) fixed-sized connection metadata at each node, regardless of the cluster scale. The key ideas include virtualizing pre-initialized kernel-space RDMA connections instead of creating one from scratch, and retrofitting advanced RDMA dynamic connected transport with static transport for both low connection overhead and high networking speed. Under load spikes, KRCORE can shorten the worker bootstrap time of an existing disaggregated key-value store (namely RACE Hashing) by 83%. In serverless computing (namely Fn), KRCORE can also reduce the latency for transferring data through RDMA by 99%. © 2022 USENIX Annual Technical Conference, ATC 2022.All rights reserved.","","Bootstrap time; Cluster scale; Control planes; Elastic computing; Kernel space; Key-value stores; Under loads; Workers'","USENIX Association","Alibaba Group; Apple; et al.; PagerDuty; USENIX Association; VMware University Research Fund","2022 USENIX Annual Technical Conference, ATC 2022","11 July 2022 through 13 July 2022","Carlsbad","183226","Conference paper","Final","","Scopus","2-s2.0-85137705584"
"Dong W.; Li B.; Li H.; Wu H.; Gong K.; Zhang W.; Gao Y.","Dong, Wei (7202224406); Li, Borui (57217088942); Li, Haoyu (58249365500); Wu, Hao (58599304700); Gong, Kaijie (58249365600); Zhang, Wenzhao (57210935423); Gao, Yi (55731336900)","7202224406; 57217088942; 58249365500; 58599304700; 58249365600; 57210935423; 55731336900","LinkLab 2.0: A Multi-tenant Programmable IoT Testbed for Experimentation with Edge-Cloud Integration","2023","Proceedings of the 20th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2023","","","","1683","1699","16","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159285673&partnerID=40&md5=f0a103354b8f1fe1cebc91599180eb00","In this paper, we present LinkLab 2.0, a completely programmable and controllable IoT testbed with the support of edge devices and cloud infrastructures. To be more specific, LinkLab 2.0 leverages a tiered architecture for the programmable devices and the management system to achieve scalability. To better support the integrated experiment among IoT, edge and cloud, LinkLab 2.0 provides one-site programming support and leverages the customizable offloading with serverless functions. Moreover, LinkLab 2.0 proposes a device-involved multi-tenancy approach to ensure responsiveness for concurrent requests. Furthermore, targeting 24/7 availability for experimenters, LinkLab 2.0 leverages proactive and reactive anomaly detection to improve the reliability of the testbed. Finally, we describe the supported research experiments and the outreach usage by external users. We also report lessons learned from the four-year operation. LinkLab 2.0 has supported experiments for 2, 100+ users. The accumulated usage time across all the devices exceeds 17, 300 hours. © NSDI 2023.All rights reserved","","Anomaly detection; Internet of things; Systems analysis; Cloud infrastructures; Cloud integrations; Customizable; Edge clouds; Linklab; Management systems; Multi tenants; Programmable devices; Programming support; Tiered architecture; Multi tenancies; Testbeds","USENIX Association","Amazon; et al.; Futurewei Technologies; Meta; NSF; USENIX Association","20th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2023","17 April 2023 through 19 April 2023","Boston","188341","Conference paper","Final","","Scopus","2-s2.0-85159285673"
"Shahrad M.; Fonseca R.; Goiri Í.; Chaudhry G.; Batum P.; Cooke J.; Laureano E.; Tresness C.; Russinovich M.; Bianchini R.","Shahrad, Mohammad (56943394900); Fonseca, Rodrigo (59847856900); Goiri, Íñigo (24801831000); Chaudhry, Gohar (57219259486); Batum, Paul (57219260740); Cooke, Jason (57219258980); Laureano, Eduardo (6506602105); Tresness, Colby (57219250962); Russinovich, Mark (6602399070); Bianchini, Ricardo (7006939544)","56943394900; 59847856900; 24801831000; 57219259486; 57219260740; 57219258980; 6506602105; 57219250962; 6602399070; 7006939544","Serverless in the wild: Characterizing and optimizing the serverless workload at a large cloud provider","2020","Proceedings of the 2020 USENIX Annual Technical Conference, ATC 2020","","","","205","218","13","502","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091934381&partnerID=40&md5=16dd6343f7a2bb6ef374f99e1bb924da","Function as a Service (FaaS) has been gaining popularity as a way to deploy computations to serverless backends in the cloud. This paradigm shifts the complexity of allocating and provisioning resources to the cloud provider, which has to provide the illusion of always-available resources (i.e., fast function invocations without cold starts) at the lowest possible resource cost. Doing so requires the provider to deeply understand the characteristics of the FaaS workload. Unfortunately, there has been little to no public information on these characteristics. Thus, in this paper, we first characterize the entire production FaaS workload of Azure Functions. We show for example that most functions are invoked very infrequently, but there is an 8-order-of-magnitude range of invocation frequencies. Using observations from our characterization, we then propose a practical resource management policy that significantly reduces the number of function cold starts, while spending fewer resources than state-of-the-practice policies. Copyright © Proc. of the 2020 USENIX Annual Technical Conference, ATC 2020. All rights reserved.","","Cloud providers; Cold start; Paradigm shifts; Public information; Resource costs; Resource management policy; State of the practice","USENIX Association","et al.; Facebook; Microsoft; Oracle; USENIX Association; VMware","2020 USENIX Annual Technical Conference, ATC 2020","15 July 2020 through 17 July 2020","Virtual, Online","162460","Conference paper","Final","","Scopus","2-s2.0-85091934381"
"Pang X.; Zhang Y.; Liu L.; Cheng D.; Xu C.; Zhou X.","Pang, Xingguo (59259640300); Zhang, Yanze (59259640400); Liu, Liu (57206979337); Cheng, Dazhao (56048653500); Xu, Chengzhong (55600419500); Zhou, Xiaobo (55743262600)","59259640300; 59259640400; 57206979337; 56048653500; 55600419500; 55743262600","Expeditious High-Concurrency MicroVM SnapStart in Persistent Memory with an Augmented Hypervisor","2024","Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024","","","","985","998","13","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201218650&partnerID=40&md5=e3163af19b419b4d26ac17e2a92c5b20","The industry has embraced snapshotting to tackle the cold starts and efficiently manage numerous short-lived functions for microservice-native architectures, serverless computing, and machine learning inference. A cutting-edge research approach FaaSnap, while innovative in reducing page faults during on-demand paging through prefetching the profiled working set pages into DRAM, incurs high caching overheads and I/O demands, potentially degrading system efficiency. This paper introduces PASS, a system leveraging byte-addressable persistent memory (PMEM) for cost-effective and highly concurrent MicroVM SnapStart execution. PASS, functioning as a PMEM-aware augmented hypervisor in the user space, revolutionizes MicroVM memory restoration. It constructs complete address indexing of the guest memory mapped to single-tier PMEM space, enabling zero-copy on-demand paging by exploiting PMEM’s direct access feature. This approach bypasses the cache layer and maintains guest OS transparency, avoiding invasive modifications. Experimental results, derived from real-world applications, reveal that PASS substantially decreases SnapStart execution time, achieving up to 72% reduction compared to the Firecracker hypervisor on the PMEM filesystem, and 47% reduction compared to FaaSnap. Moreover, PASS achieves double the maximum concurrency compared to both Firecracker and FaaSnap. It improves the cost-effectiveness by 2.2x and 1.6x over the Firecracker and FaaSnap, respectively. © 2024 Proceedings of the 2024 USENIX Annual Technical Conference, ATC 2024. All rights reserved.","","Cache memory; Dynamic random access storage; Memory architecture; % reductions; Cold-start; Cutting edges; Demand paging; High concurrencies; Hypervisors; Machine-learning; On demands; Persistent memory; Research approach; Cost effectiveness","USENIX Association","Futurewei Technologies; IBM; Meta; NetApp; NSF; USENIX Association","2024 USENIX Annual Technical Conference, ATC 2024","10 July 2024 through 12 July 2024","Santa Clara","201530","Conference paper","Final","","Scopus","2-s2.0-85201218650"
"Akkus I.E.; Chen R.; Rimac I.; Satzke M.S.K.; Beck A.; Aditya P.; Hilt V.","Akkus, Istemi Ekin (15062297200); Chen, Ruichuan (23388102000); Rimac, Ivica (55941252700); Satzke, Manuel Stein Klaus (57212875738); Beck, Andre (10639921200); Aditya, Paarijaat (55960724400); Hilt, Volker (6602872942)","15062297200; 23388102000; 55941252700; 57212875738; 10639921200; 55960724400; 6602872942","SAND: Towards high-performance serverless computing","2020","Proceedings of the 2018 USENIX Annual Technical Conference, USENIX ATC 2018","","","","923","935","12","317","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077465955&partnerID=40&md5=e91084dedc46ba5ee2049a8269682a68","Serverless computing has emerged as a new cloud computing paradigm, where an application consists of individual functions that can be separately managed and executed. However, existing serverless platforms normally isolate and execute functions in separate containers, and do not exploit the interactions among functions for performance. These practices lead to high startup delays for function executions and inefficient resource usage. This paper presents SAND, a new serverless computing system that provides lower latency, better resource efficiency and more elasticity than existing serverless platforms. To achieve these properties, SAND introduces two key techniques: 1) application-level sandboxing, and 2) a hierarchical message bus. We have implemented and deployed a complete SAND system. Our results show that SAND outperforms the state-of-the-art serverless platforms significantly. For example, in a commonly-used image processing application, SAND achieves a 43% speedup compared to Apache OpenWhisk. © Proceedings of the 2018 USENIX Annual Technical Conference, USENIX ATC 2018. All rights reserved.","","Image processing; Application level; Computing system; Image processing applications; Message bus; Resource efficiencies; Resource usage; Sand systems; State of the art; Sand","USENIX Association","et al.; Facebook; NetApp; NSF; Oracle; The USENIX Association","2018 USENIX Annual Technical Conference, USENIX ATC 2018","11 July 2018 through 13 July 2018","Boston","155411","Conference paper","Final","","Scopus","2-s2.0-85077465955"
"Zhang C.; Yu M.; Wang W.; Yan F.","Zhang, Chengliang (57203225545); Yu, Minchen (57205201325); Wang, Wei (57234263600); Yan, Feng (50862222500)","57203225545; 57205201325; 57234263600; 50862222500","Mark: Exploiting cloud services for cost-effective, slo-aware machine learning inference serving","2019","Proceedings of the 2019 USENIX Annual Technical Conference, USENIX ATC 2019","","","","1049","1062","13","233","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076183718&partnerID=40&md5=de8d4f1dca43c789793276270808d25f","The advances of Machine Learning (ML) have sparked a growing demand of ML-as-a-Service: developers train ML models and publish them in the cloud as online services to provide low-latency inference at scale. The key challenge of ML model serving is to meet the response-time Service-Level Objectives (SLOs) of inference workloads while minimizing the serving cost. In this paper, we tackle the dual challenge of SLO compliance and cost effectiveness with MArk (Model Ark), a general-purpose inference serving system built in Amazon Web Services (AWS). MArk employs three design choices tailor-made for inference workload. First, MArk dynamically batches requests and opportunistically serves them using expensive hardware accelerators (e.g., GPU) for improved performance-cost ratio. Second, instead of relying on feedback control scaling or over-provisioning to serve dynamic workload, which can be too slow or too expensive for inference serving, MArk employs predictive autoscaling to hide the provisioning latency at low cost. Third, given the stateless nature of inference serving, MArk exploits the flexible, yet costly serverless instances to cover the occasional load spikes that are hard to predict. We evaluated the performance of MArk using several state-of-the-art ML models trained in popular frameworks including TensorFlow, MXNet, and Keras. Compared with the premier industrial ML serving platform SageMaker, MArk reduces the serving cost up to 7.8× while achieving even better latency performance. © Proceedings of the 2019 USENIX Annual Technical Conference, USENIX ATC 2019. All rights reserved.","","Cost effectiveness; Costs; Machine learning; Amazon web services; Expensive hardware; Latency performance; On-line service; Over provisioning; Performance-cost ratio; Service level objective; State of the art; Web services","USENIX Association","Facebook; NSF; Nutanix; Oracle; The USENIX Association; VMware","2019 USENIX Annual Technical Conference, USENIX ATC 2019","10 July 2019 through 12 July 2019","Renton","155412","Conference paper","Final","","Scopus","2-s2.0-85076183718"
"","","","Proceedings of the 18th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2024","2024","Proceedings of the 18th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2024","","","","","","1010","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201261581&partnerID=40&md5=c90790b5d94aab0ac12f421b8a426726","The proceedings contain 53 papers. The topics discussed include: Nomad: non-exclusive memory tiering via transactional page migration; managing memory tiers with CXL in virtualized environments; harvesting memory-bound CPU stall cycles in software with MSH; a tale of two paths: toward a hybrid data plane for efficient far-memory applications; DRust: language-guided distributed shared memory with fine granularity, full transparency, and ultra efficiency; taming throughput-latency tradeoff in LLM inference with Sarathi-Serve; ServerlessLLM: low-latency serverless inference for large language models; InfiniGen: efficient generative inference of large language models with dynamic KV cache management; Llumnix: dynamic scheduling for large language model serving; DistServe: disaggregating prefill and decoding for goodput-optimized large language model serving; and beaver: practical partial snapshots for distributed cloud services.","","","USENIX Association","Amazon; Databricks; et al.; Futurewei Technologies; Roblox; USENIX Association","18th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2024","10 July 2024 through 12 July 2024","Santa Clara","201531","Conference review","Final","","Scopus","2-s2.0-85201261581"
"Kotni S.; Nayak A.; Ganapathy V.; Basu A.","Kotni, Swaroop (57226501227); Nayak, Ajay (57224633814); Ganapathy, Vinod (55712440200); Basu, Arkaprava (24469737700)","57226501227; 57224633814; 55712440200; 24469737700","Faastlane: Accelerating function-as-a-service workflows","2021","2021 USENIX Annual Technical Conference","","","","957","971","14","85","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111773082&partnerID=40&md5=ec6a9fd1ed341761f6ab42acf01dbed1","In FaaS workflows, a set of functions implement application logic by interacting and exchanging data among themselves. Contemporary FaaS platforms execute each function of a workflow in separate containers. When functions in a workflow interact, the resulting latency slows execution. Faastlane minimizes function interaction latency by striving to execute functions of a workflow as threads within a single process of a container instance, which eases data sharing via simple load/store instructions. For FaaS workflows that operate on sensitive data, Faastlane provides lightweight thread-level isolation domains using Intel Memory Protection Keys (MPK). While threads ease sharing, implementations of languages such as Python and Node.js (widely used in FaaS applications) disallow concurrent execution of threads. Faastlane dynamically identifies opportunities for parallelism in FaaS workflows and fork processes (instead of threads) or spawns new container instances to concurrently execute parallel functions of a workflow. We implemented Faastlane atop Apache OpenWhisk and show that it accelerates workflow instances by up to 15×, and reduces function interaction latency by up to 99.95% compared to OpenWhisk. © 2021 USENIX Annual Technical Conference. All rights reserved.","","Containers; Data privacy; Application logic; Concurrent execution; Memory protection; Parallel functions; Sensitive datas; Single process; Work-flows; Workflow instances; Data Sharing","USENIX Association","Facebook; Google; IBM; USENIX; VMware","2021 USENIX Annual Technical Conference, ATC 2021","14 July 2021 through 16 July 2021","Virtual, Online","170531","Conference paper","Final","","Scopus","2-s2.0-85111773082"
"Wang L.; Li M.; Zhang Y.; Ristenpart T.; Swift M.","Wang, Liang (59086727400); Li, Mengyuan (57200512759); Zhang, Yinqian (36669844400); Ristenpart, Thomas (23393983800); Swift, Michael (57209111762)","59086727400; 57200512759; 36669844400; 23393983800; 57209111762","Peeking behind the curtains of serverless platforms","2020","Proceedings of the 2018 USENIX Annual Technical Conference, USENIX ATC 2018","","","","133","145","12","425","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077448177&partnerID=40&md5=4c9a798d44b920fec75b104bd8d7da8f","Serverless computing is an emerging paradigm in which an application's resource provisioning and scaling are managed by third-party services. Examples include AWS Lambda, Azure Functions, and Google Cloud Functions. Behind these services' easy-to-use APIs are opaque, complex infrastructure and management ecosystems. Taking on the viewpoint of a serverless customer, we conduct the largest measurement study to date, launching more than 50,000 function instances across these three services, in order to characterize their architectures, performance, and resource management efficiency. We explain how the platforms isolate the functions of different accounts, using either virtual machines or containers, which has important security implications. We characterize performance in terms of scalability, coldstart latency, and resource efficiency, with highlights including that AWS Lambda adopts a bin-packing-like strategy to maximize VM memory utilization, that severe contention between functions can arise in AWS and Azure, and that Google had bugs that allow customers to use resources for free. © Proceedings of the 2018 USENIX Annual Technical Conference, USENIX ATC 2018. All rights reserved.","","Efficiency; Bin packing; Complex infrastructures; Measurement study; Memory utilization; Resource efficiencies; Resource management; Security implications; Third party services; Memory architecture","USENIX Association","et al.; Facebook; NetApp; NSF; Oracle; The USENIX Association","2018 USENIX Annual Technical Conference, USENIX ATC 2018","11 July 2018 through 13 July 2018","Boston","155411","Conference paper","Final","","Scopus","2-s2.0-85077448177"
"Wang A.; Chang S.; Tian H.; Wang H.; Yang H.; Li H.; Du R.; Cheng Y.","Wang, Ao (57215285001); Chang, Shuai (57224667574); Tian, Huangshi (57203228417); Wang, Hongqi (57224668237); Yang, Haoran (57224666403); Li, Huiba (36351958500); Du, Rui (57224667914); Cheng, Yue (56022559100)","57215285001; 57224667574; 57203228417; 57224668237; 57224666403; 36351958500; 57224667914; 56022559100","FAASNET: Scalable and fast provisioning of custom serverless container runtimes at Alibaba cloud function compute","2021","2021 USENIX Annual Technical Conference","","","","443","457","14","89","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111751592&partnerID=40&md5=530200872d7c299a88fc36602c2489b0","Serverless computing, or Function-as-a-Service (FaaS), enables a new way of building and scaling applications by allowing users to deploy fine-grained functions while providing fully-managed resource provisioning and auto-scaling. Custom FaaS container support is gaining traction as it enables better control over OSes, versioning, and tooling for modernizing FaaS applications. However, providing rapid container provisioning introduces non-trivial challenges for FaaS providers, since container provisioning is costly, and real-world FaaS workloads exhibit highly dynamic patterns. In this paper, we design FAASNET, a highly-scalable middleware system for accelerating FaaS container provisioning. FAASNET is driven by the workload and infrastructure requirements of the FaaS platform at one of the world's largest cloud providers, Alibaba Cloud Function Compute. FAASNET enables scalable container provisioning via a lightweight, adaptive function tree (FT) structure. FAASNET uses an I/O efficient, on-demand fetching mechanism to further reduce provisioning costs at scale. We implement and integrate FAASNET in Alibaba Cloud Function Compute. Evaluation results show that FAASNET: (1) finishes provisioning 2;500 function containers on 1;000 virtual machines in 8.3 seconds, (2) scales 13.4× and 16.3× faster than Alibaba Cloud's current FaaS platform and a state-of-the-art P2P container registry (Kraken), respectively, and (3) sustains a bursty workload using 75:2% less time than an optimized baseline. © 2021 USENIX Annual Technical Conference. All rights reserved.","","Middleware; Traction control; Adaptive functions; Bursty workloads; Cloud providers; Dynamic patterns; Evaluation results; Fine grained; Middleware system; State of the art; Containers","USENIX Association","Facebook; Google; IBM; USENIX; VMware","2021 USENIX Annual Technical Conference, ATC 2021","14 July 2021 through 16 July 2021","Virtual, Online","170531","Conference paper","Final","","Scopus","2-s2.0-85111751592"
"","","","Proceedings of the 2022 USENIX Annual Technical Conference, ATC 2022","2022","Proceedings of the 2022 USENIX Annual Technical Conference, ATC 2022","","","","","","1052","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140962094&partnerID=40&md5=85cbc5ec4c8cdfef5838a0d1e787b147","The proceedings contain 64 papers. The topics discussed include: building a high-performance fine-grained deduplication framework for backup storage with high deduplication ratio; secure and lightweight deduplicated storage via shielded deduplication-before-encryption; help rather than recycle: alleviating cold startup in serverless computing through inter-function container sharing; zero-change object transmission for distributed big data analytics; sift: using refinement-guided automation to verify complex distributed systems; co-opting Linux processes for high-performance network simulation; KSG: augmenting kernel fuzzing with system call specification generation; Modulo: finding convergence failure bugs in distributed systems with divergence resync models; SoftTRR: protect page tables against Rowhammer attacks using software-only target row refresh; and Vigil-KV: hardware-software co-design to integrate strong latency determinism into log-structured merge key-value stores.","","","USENIX Association","Alibaba Group; Apple; et al.; PagerDuty; USENIX Association; VMware University Research Fund","2022 USENIX Annual Technical Conference, ATC 2022","11 July 2022 through 13 July 2022","Carlsbad","183226","Conference review","Final","","Scopus","2-s2.0-85140962094"
"Pu Q.; Venkataraman S.; Stoica I.","Pu, Qifan (55841232900); Venkataraman, Shivaram (55312380900); Stoica, Ion (7007009125)","55841232900; 55312380900; 7007009125","Shuffling, fast and slow: Scalable analytics on serverless infrastructure","2019","Proceedings of the 16th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2019","","","","193","206","13","204","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072316299&partnerID=40&md5=5a9b520ced150de89f99ddac23436c41","Serverless computing is poised to fulfill the long-held promise of transparent elasticity and millisecond-level pricing. To achieve this goal, service providers impose a fine-grained computational model where every function has a maximum duration, a fixed amount of memory and no persistent local storage. We observe that the fine-grained elasticity of serverless is key to achieve high utilization for general computations such as analytics workloads, but that resource limits make it challenging to implement such applications as they need to move large amounts of data between functions that don't overlap in time. In this paper, we present Locus, a serverless analytics system that judiciously combines (1) cheap but slow storage with (2) fast but expensive storage, to achieve good performance while remaining cost-efficient. Locus applies a performance model to guide users in selecting the type and the amount of storage to achieve the desired cost-performance trade-off. We evaluate Locus on a number of analytics applications including TPC-DS, CloudSort, Big Data Benchmark and show that Locus can navigate the cost-performance trade-off, leading to 4×-500× performance improvements over slow storage-only baseline and reducing resource usage by up to 59% while achieving comparable performance with running Apache Spark on a cluster of virtual machines, and within 2× slower compared to Redshift. © 2019 by The USENIX Association. All Rights Reserved.","","Benchmarking; Digital storage; Economic and social effects; Elasticity; Systems analysis; Analytics systems; Computational model; Cost performance; Cost-efficient; High utilizations; Large amounts of data; Performance Model; Service provider; Costs","USENIX Association","Amazon; ByteDance; et al.; Facebook; NSF; The USENIX Association","16th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2019","26 February 2019 through 28 February 2019","Boston","155225","Conference paper","Final","","Scopus","2-s2.0-85072316299"
"Karthikeyan A.; Natarajan N.; Somashekar G.; Zhao L.; Bhagwan R.; Fonseca R.; Racheva T.; Bansal Y.","Karthikeyan, Ajaykrishna (57219794944); Natarajan, Nagarajan (7004412700); Somashekar, Gagan (57213267316); Zhao, Lei (58248735300); Bhagwan, Ranjita (6506809871); Fonseca, Rodrigo (59847856900); Racheva, Tatiana (58248735400); Bansal, Yogesh (57949090300)","57219794944; 7004412700; 57213267316; 58248735300; 6506809871; 59847856900; 58248735400; 57949090300","SelfTune: Tuning Cluster Managers","2023","Proceedings of the 20th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2023","","","","1097","1114","17","14","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158850658&partnerID=40&md5=9204d00f47ed8701bf486f9c6565f9b2","Large-scale cloud providers rely on cluster managers for container allocation and load balancing (e.g., Kubernetes), VM provisioning (e.g., Protean), and other management tasks. These cluster managers use algorithms or heuristics whose behavior depends upon multiple configuration parameters. Currently, operators manually set these parameters using a combination of domain knowledge and limited testing. In very large-scale and dynamic environments, these manually-set parameters may lead to sub-optimal cluster states, adversely affecting important metrics such as latency and throughput. In this paper we describe SelfTune, a framework that automatically tunes such parameters in deployment. SelfTune piggybacks on the iterative nature of cluster managers which, through multiple iterations, drives a cluster to a desired state. Using a simple interface, developers integrate SelfTune into the cluster manager code, which then uses a principled reinforcement learning algorithm to tune important parameters over time. We have deployed SelfTune on tens of thousands of machines that run a large-scale background task scheduler at Microsoft. SelfTune has improved throughput by as much as 20% in this deployment by continuously tuning a key configuration parameter that determines the number of jobs concurrently accessing CPU and disk on every machine. We also evaluate SelfTune with two Azure FaaS workloads, the Kubernetes Vertical Pod Autoscaler, and the DeathStar microservice benchmark. In all cases, SelfTune significantly improves cluster performance. © NSDI 2023.All rights reserved","","Balancing; Clustering algorithms; Domain Knowledge; Iterative methods; Parameter estimation; Cloud providers; Cluster managers; Configuration parameters; Container allocations; Large-scales; Load-Balancing; Management tasks; Multiple configurations; Self-tune; VM provisioning; Reinforcement learning","USENIX Association","Amazon; et al.; Futurewei Technologies; Meta; NSF; USENIX Association","20th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2023","17 April 2023 through 19 April 2023","Boston","188341","Conference paper","Final","","Scopus","2-s2.0-85158850658"
