"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"TriggerBench: A Performance Benchmark for Serverless Function Triggers","J. Scheuner; M. Bertilsson; O. Grönqvist; H. Tao; H. Lagergren; J. -P. Steghöfer; P. Leitner","Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden; Department of Computer Science and Engineering, Chalmers | University of Gothenburg, Gothenburg, Sweden",2022 IEEE International Conference on Cloud Engineering (IC2E),"16 Nov 2022","2022","","","96","103","Serverless computing offers a scalable event-based paradigm for deploying managed cloud-native applications. Function triggers are essential building blocks in serverless, as they initiate any function execution. However, function triggering is insufficiently studied and inherently hard to measure given the distributed, ephemeral, and asynchronous nature of event-based function coordination. To address this gap, we present TriggerBench, a cross-provider benchmark for evaluating serverless function triggers based on distributed tracing. We evaluate the trigger latency (i.e., time to transition between two functions) of eight types of triggers in Microsoft Azure and three in AWS. Our results show that all triggers suffer from long tail latency, storage triggers introduce variable multi-second delays, and HTTP triggers are most suitable for interactive applications. Our insights can guide developers in choosing optimal event or messaging triggers for latency-sensitive applications. Researchers can extend TriggerBench to study the latency, scalability, and reliability of further trigger types and cloud providers.","","978-1-6654-9115-0","10.1109/IC2E55432.2022.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9946324","serverless;FaaS;triggers;distributed tracing;observability;performance;benchmarking","Runtime;Scalability;Buildings;Serverless computing;Tail;Benchmark testing;Delays","","5","","40","IEEE","16 Nov 2022","","","IEEE","IEEE Conferences"
"ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms","T. Schirmer; T. Pfandzelter; D. Bermbach","Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future; Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future; Scalable Software Systems Research Group, Technische Universität Berlin & Einstein Center Digital Future",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","83","92","Running microbenchmark suites often and early in the development process enables developers to identify performance issues in their application. Microbenchmark suites of complex applications can comprise hundreds of individual benchmarks and take multiple hours to evaluate meaningfully, making running those benchmarks as part of CI/CD pipelines infeasible. In this paper, we reduce the total execution time of microbenchmark suites by leveraging the massive scalability and elasticity of FaaS (Function-as-a-Service) platforms. While using FaaS enables users to quickly scale up to thousands of parallel function instances to speed up microbenchmarking, the performance variation and low control over the underlying computing resources complicate reliable benchmarking. We present ElastiBench, an architecture for executing microbenchmark suites on cloud FaaS platforms, and evaluate it on code changes from an open-source time series database. Our evaluation shows that our prototype can produce reliable results ($\sim 95 \%$ of performance changes accurately detected) in a quarter of the time ($\leq 15 \mathrm{~min}$ vs. $\sim 4 \mathrm{~h}$) and at lower cost ($\$0.49$ vs. $\$ 1.18$) compared to cloud-based virtual machines.","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00016","Bundesministerium für Bildung und Forschung; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749788","Serverless;FaaS;Microbenchmarks","Cloud computing;Costs;Scalability;Time series analysis;Pipelines;Prototypes;Computer architecture;Benchmark testing;Parallel processing;Robustness","","1","","52","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
"CASY: A CPU Cache Allocation System for FaaS Platform","A. Jeatsa; B. Teabe; D. Hagimont","IRIT, Universite de Toulouse, CNRS, Toulouse INP, UT3, Toulouse, France; IRIT, Universite de Toulouse, CNRS, Toulouse INP, UT3, Toulouse, France; IRIT, Universite de Toulouse, CNRS, Toulouse INP, UT3, Toulouse, France","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","494","503","Function as a Service (FaaS) has become a key service in the cloud. It enables customers to conceive their appli-cation as a collection of minimal serverless functions interacting with each other. FaaS platforms abstract all the management complexity to the client. This emerging paradigm is also attractive because of its billing model. Clients are charged based on the execution time of functions, allowing finer-grained pricing. There-fore, executing functions as fast as possible is very important to lower the cost. Several research studies have investigated runtime optimization in FaaS environments, but none have explored CPU cache allocation. Indeed, CPU cache contention is a well-known issue in software and FaaS is not exempt from this issue. Various hardware improvements have been made to address the CPU cache partitioning problem. Among other things, Intel has implemented a new technology in their new processors that allows cache partitioning: Cache Allocation Technology (CAT). This technology allows allocating cache ways to processes, and the usage of the cache by each process will be limited to the allocated amount. In this paper, we propose CASY (CPU Cache Allocation SYstem), a system that performs CPU cache allocation for serverless functions using the Intel CAT technology. CASY uses machine learning to build a cache usage profile for functions and uses this profile to predict the cache requirements based on the function's input data. Because the CPU's cache size is small, CASY integrates an allocation algorithm which ensures that the cache loads are balanced on all cache ways. We implemented our system and integrated it into the Open Whisk FaaS platform. Our evaluations show a 11 % decrease in execution time for some serverless functions without degrading the performance of other functions.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00059","Agence nationale de la recherche(grant numbers:ANR-20-CE25-0005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825963","FaaS;CPU Cache;Allocation","Runtime;Program processors;FAA;Pricing;Predictive models;Prediction algorithms;Software","","2","","31","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge","X. Li; P. Kang; J. Molone; W. Wang; P. Lama","Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas; Department of Computer Science, University of Texas at San Antonio, San Antonio, Texas","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","180","189","Serverless computing is a promising paradigm for delivering services to the Internet of Things (IoT) applications at the edge of the network. Its event-triggered computation, as well as fine-grained and agile resource scaling, is well-suited for a resource-constrained edge computing environment. However, general-purpose auto-scalers that are predominant in the cloud settings perform poorly for serverless computing at the Edge. This is mainly due to the difficulty in quickly determining the optimal resource allocation under resource-budget constraints and dynamic workloads. In this paper, we present an adaptive auto-scaler, KneeScale, that dynamically adjusts the number of replicas for serverless functions to reach a point at which the relative cost to increase resource allocation is no longer worth the corresponding performance benefit. We have designed and implemented KneeScale as lightweight system software that utilizes Kubernetes for resource management. Experimental results with a function-as-a-service (FaaS) benchmark, FunetionBeneh, and an open-source serverless computing platform, OpenFaaS, demonstrate the superior performance and resource efficiency of KneeScale. It outperforms Kubernetes Horizontal Pod AutoScaler (HPA) and OpenFaaS built-in scheduler in terms of cumulative performance under a given resource budget by up to 32 % and 106 % respectively. KneeScale achieves higher cumulative throughput than both competing techniques, lower latencies than OpenFaaS built-in scheduler, and similar latencies compared to HPA for a variety of serverless functions.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00027","NSF(grant numbers:CNS 1911012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826051","Resource Scaling;Edge;Serverless Computing","Costs;Serverless computing;FAA;Benchmark testing;Throughput;Dynamic scheduling;System software","","15","","22","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"A Case for Function-as-a-Service with Disaggregated FPGAs","B. Ringlein; F. Abel; D. Diamantopoulos; B. Weiss; C. Hagleitner; M. Reichenbach; D. Fey",IBM Research Europe; IBM Research Europe; IBM Research Europe; IBM Research Europe; IBM Research Europe; Friedrich-Alexander University Erlangen- Nürnberg; Friedrich-Alexander University Erlangen- Nürnberg,2021 IEEE 14th International Conference on Cloud Computing (CLOUD),"8 Nov 2021","2021","","","333","344","The slowdown of Moore's law and the end of Dennard scaling created a demand for specialized accelerators, including Field Programmable Gate Arrays (FPGAs), in cloud data centers. At the same time, compute resources are increasingly consumed via public and private clouds and traditional applications are modernized using scalable microservices and Function-as-a-Service (FaaS) offerings. Nonetheless, true FaaS based on FPGAs or other accelerators is virtually absent from the offering catalogs of all major cloud providers. In addition, FPGA applications are typically coded in a monolithic fashion, due to device and vendor specific dependencies, which reduces the portability and usability of FPGA cloud offerings further. However, FPGA-based FaaS can improve execution efficiency and minimize (tail-) latencies while decreasing costs. We propose a novel system architecture, called Mantle, that uses disaggregated FPGAs to enable scalable, usable, portable and efficient FaaS offerings for FPGAs. Our experimental results demonstrate a significant reduction of end-to-end service provisioning time to below 7 seconds and an increase in execution efficiency by a factor of 4 with negligible overhead.","2159-6190","978-1-6654-0060-2","10.1109/CLOUD53861.2021.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582275","cloud computing;reconfigurable computing;disaggregated FPGAs;Shell Role architecture;partial reconfiguration;FaaS;forward compatibility;dynamic ISA extensions","Semiconductor device modeling;Cloud computing;Data centers;Moore's Law;Systems architecture;FAA;Computer architecture","","8","","62","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"Pushing Serverless to the Edge with WebAssembly Runtimes","P. Gackstatter; P. A. Frangoudis; S. Dustdar","Distributed Systems Group, TU Wien, Vienna, Austria; Distributed Systems Group, TU Wien, Vienna, Austria; Distributed Systems Group, TU Wien, Vienna, Austria","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","140","149","Serverless computing has become a popular part of the cloud computing model, thanks to abstracting away infrastructure management and enabling developers to write functions that auto-scale in a polyglot environment, while only paying for the used compute time. While this model is ideal for handling unpredictable and bursty workloads, cold-start latencies of hundreds of milliseconds or more still hinder its support for latency-critical IoT services, and may cancel the latency benefits that come with proximity, when serverless functions are deployed at the edge. Moreover, CPU power and memory limitations which often characterize edge hosts drive latencies even higher. The root of the problem lies in the de facto runtime environments for serverless functions, namely container technologies such as Docker. A radical approach is thus to replace them with a more light-weight alternative. For this purpose, we examine WebAssembly's suitability for use as a serverless container runtime, with a focus on edge computing settings, and present the design and implementation of a WebAssembly-based runtime environment for serverless edge computing. WOW, our prototype for WebAssembly execution in Apache QpenWhisk, reduces cold-start latency by up to 99.5%, can improve on memory consumption by more than 5×, and increases function execution throughput by up to 4.2× on low-end edge computing equipment compared to the standard Docker-based container runtime for various serverless workloads.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826054","Function-as-a-Service;edge computing;server-less;WebAssembly","Runtime environment;Computational modeling;Memory management;Serverless computing;Prototypes;Containers;Throughput","","30","","36","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Increasing Efficiency and Result Reliability of Continuous Benchmarking for FaaS Applications","T. C. Rese; N. Japke; S. Koch; T. Pfandzelter; D. Bermbach","Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","93","100","In a continuous deployment setting, Function-as-aService (FaaS) applications frequently receive updated releases, each of which can cause a performance regression. While continuous benchmarking, i.e., comparing benchmark results of the updated and the previous version, can detect such regressions, performance variability of FaaS platforms necessitates thousands of function calls, thus, making continuous benchmarking time intensive and expensive. In this paper, we propose DuetFaaS, an approach which adapts duet benchmarking to FaaS applications. With DuetFaaS, we deploy two versions of FaaS function in a single cloud function instance and execute them in parallel to reduce the impact of platform variability. We evaluate our approach against state-of-the-art approaches, running on AWS Lambda. Overall, DuetFaaS requires fewer invocations to accurately detect performance regressions than other state-of-the-art approaches. In $98.41 \%$ of evaluated cases, our approach provides equal or smaller confidence interval size. DuetFaaS achieves an interval size reduction in $59.06 \%$ of all evaluated sample sizes when compared to the competitive approaches.","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749743","Function-as-a-Service;serverless;benchmarking","Accuracy;Prototypes;Benchmark testing;Software;Software reliability","","","","31","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
"Multi-Objective Workflow Scheduling to Serverless Architecture in a Multi-Cloud Environment","M. Ramesh; D. Chahal; C. Phalak; R. Singhal","TCS Research, Mumbai, India; TCS Research, Mumbai, India; TCS Research, Mumbai, India; TCS Research, New York, USA",2023 IEEE International Conference on Cloud Engineering (IC2E),"6 Nov 2023","2023","","","173","183","Many complex workflows consist of multiple tasks represented as a directed acyclic graph (DAG). Optimal deployment of such workflows on a cloud using multiple services requires a judicious selection of compute and storage services to minimize the makespan and the cost of deployment. Multi-cloud deployment is emerging as a preferred choice for the deployment of complex workflows for price competitiveness and freedom from vendor lock-in. However, finding an optimal mapping scheme for heterogeneous tasks of a workflow in a multi-cloud environment is a challenge. Furthermore, each participating cloud service provider (CSP) has a unique cost model and maximum deliverable performance. This makes exploration of the optimal configuration of the chosen service daunting. Many algorithms, frameworks, and tools have been proposed to schedule complex workflows on cloud using virtual machines (VMs) available as Infrastructure-as-a-Service (IaaS). However, the use of scalable and cost-effective serverless platforms offered as Function-as-a-Service (FaaS) is still in its infancy.In this work, we use particle swarm optimization (PSO) for mapping complex workflows to cloud services such as computing, and storage in a multi-cloud scenario. We map complex workflows to the serverless platforms and storage services from popular cloud vendors namely Amazon Web Services (AWS), Azure (AZR), and Google Cloud Platform (GCP). The experimental evaluation shows that our approach results in up to 61% improvement in makespan and 51% improvement in the cost of workflow deployment as compared to naive and intuition-based mapping in a cloud.","2694-0825","979-8-3503-4394-6","10.1109/IC2E59103.2023.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305826","Multi-cloud;serverless;FaaS;PSO;makespan;cost","Cloud computing;Schedules;Costs;Web services;Perturbation methods;Optimal scheduling;Virtual machining","","","","43","IEEE","6 Nov 2023","","","IEEE","IEEE Conferences"
"XFBench: A Cross-Cloud Benchmark Suite for Evaluating FaaS Workflow Platforms","V. Kulkarni; N. Reddy; T. Khare; H. Mohan; J. Murali; M. A; R. B; S. Balajee; S. S; S. D; V. S; Y. V; C. Babu; A. S. Prasad; Y. Simmhan","Indian Institute of Science, Bangalore, India; Indian Institute of Science, Bangalore, India; Indian Institute of Science, Bangalore, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; Indian Institute of Technology, Ropar, India; Indian Institute of Science, Bangalore, India","2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","8 Oct 2024","2024","","","543","556","Functions-as-a-Service (FaaS) is a widely used serverless computing abstraction that helps developers build applications using event-driven, stateless functions that execute on the cloud. Commercial FaaS platforms such as AWS Lambda and Azure Functions offer elastic auto-scaling and invocation-level billing to ease operations. Applications are often composed as a dataflow of FaaS functions that are orchestrated by FaaS workflow platforms such as AWS Step Functions or Azure Durable Functions. However, the proprietary nature of FaaS platforms on public clouds means that their internals are less understood. While benchmarks to characterize FaaS platforms exist, none are available for a principled evaluation of FaaS workflow platforms. Further, they are less configurable and often limited to simple workloads and a single cloud provider. We address this limitation by proposing XFBench, an end-to-end automated benchmarking framework for FaaS workflows that works across clouds, and an accompanying function, workflow, and workload suite. The user provides a generic definition of the workflow and workload for benchmarking, and XFBench automatically deploys the workflows across multiple cloud platforms, generates client requests, and profiles the execution. We validate XFBench with realistic workflows and workloads on AWS and Azure platforms in different global regions to offer early insights into understanding the inter-function communication, function execution time, and cold start scaling.","2993-2114","979-8-3503-9566-2","10.1109/CCGrid59990.2024.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701340","Faas;Serverless;Benchmarking;HybridCloud;Performance Characterisation","Measurement;Cloud computing;Costing;Serverless computing;Benchmark testing;Logic","","1","","36","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"OrcBench: A Representative Serverless Benchmark","R. Hancock; S. Udayashankar; A. J. Mashtizadeh; S. Al-Kiswany","University of Waterloo, Waterloo, Canada; University of Waterloo, Waterloo, Canada; University of Waterloo, Waterloo, Canada; University of Waterloo, Waterloo, Canada",2022 IEEE 15th International Conference on Cloud Computing (CLOUD),"24 Aug 2022","2022","","","103","108","Serverless computing is rapidly growing area of research. No standardized benchmark currently exists for evaluating orchestration level decisions or executing large serverless workloads because of the limited data provided by cloud providers. Current benchmarks focus on other aspects, such as the cost of running general types of functions and their runtimes.We introduce OrcBench, the first orchestration benchmark based on the recently published Microsoft Azure serverless data set. OrcBench categorizes 8622 serverless functions into 17 distinct models, which represent 5.6 million invocations from the original trace.OrcBench also incorporates a time-series analysis to identify function chains within the dataset. OrcBench can use these to create workloads that mimic complete serverless applications, which includes simulating CPU and memory usage. The modeling allows these workloads to be scaled according to the target hardware configuration.","2159-6190","978-1-6654-8137-3","10.1109/CLOUD55607.2022.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860528","benchmark;serverless;cloud;modeling","Analytical models;Costs;Time series analysis;Serverless computing;Benchmark testing;Signal generators;Hardware","","2","","14","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"TrapShield: Enhancing Security and Privacy in Serverless Workflows using Honeypots by Robust Adversary Penalization","S. Garg; M. Suresh; M. S. D. Thakur; M. A. Rajan; P. Sahu; M. Gharote; M. Ramesh; S. Lodha","TCS Innovation Labs Tata Consultancy Services, New Delhi, India; Department of Chemical Engineering, Indian Institute of Technology Bombay, Mumbai, India; TCS Innovation Labs Tata Consultancy Services, Bengaluru, India; TCS Innovation Labs Tata Consultancy Services, Bengaluru, India; TCS Innovation Labs Tata Consultancy Services, New Delhi, India; TCS Innovation Labs Tata Consultancy Services, Pune, India; TCS Innovation Labs Tata Consultancy Services, Mumbai, India; TCS Innovation Labs Tata Consultancy Services, Pune, India",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","245","246","The marked shift of application developers to serverless computing has led to an increase in the number of cyberattacks and privacy concerns, thus prompting the need for secure serverless workflows. We propose TrapShield, a honeypots-based, secure and privacy preserving framework to protect serverless computing applications from insider and outsider attacks. It utilizes honeypots to deceive the attackers and penalize them by redirecting to a random set of dummy functions forming a cycle. Evaluations on Google Cloud Platform and Amazon Web Services for three popular serverless applications show TrapShield’s effectiveness in reducing costs for thwarting attacks while maintaining high runtime performance (approximately 1.3 seconds for an airline booking application).","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749767","Serverless Cloud Security;Workflows;Insider attacks;Honeypots;Dummy nodes;Penalize;Cost Optimization","Privacy;Costs;Runtime;Web services;Serverless computing;Information filtering;Security;Optimization;Airline industry;Information integrity","","","","2","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
"GlobalFlow: A Cross-Region Orchestration Service for Serverless Computing Services","G. Zheng; Y. Peng","University of Washington Bothell, Bothell, WA; University of Washington Bothell, Bothell, WA",2019 IEEE 12th International Conference on Cloud Computing (CLOUD),"29 Aug 2019","2019","","","508","510","With the development of serverless computing, orchestration of multiple serverless computing services is highly desired by many cloud-based applications. In this paper, we present GlobalFlow, an orchestration service that can coordinate various geographically distributed but logically dependent serverless computing services through copy-based or connector-based strategy. Through preliminary evaluation, the proposed service has demonstrated its effectiveness in orchestrating various AWS Lambda functions in different regions without significant overhead.","2159-6190","978-1-7281-2705-7","10.1109/CLOUD.2019.00093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814505","serverless computing;orchestration;geo distributed;AWS Lambda;cloud computing","","","8","","8","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Optimizing Cloud Function Configuration via Local Simulations","J. Manner; M. Endreβ; S. Böhm; G. Wirtz","Distributed Systems Group Otto-Friedrich-University, Bamberg, Germany; Distributed Systems Group Otto-Friedrich-University, Bamberg, Germany; Distributed Systems Group Otto-Friedrich-University, Bamberg, Germany; Distributed Systems Group Otto-Friedrich-University, Bamberg, Germany",2021 IEEE 14th International Conference on Cloud Computing (CLOUD),"8 Nov 2021","2021","","","168","178","Function as a Service (FaaS) - the reason why so many practitioners and researchers talk about Serverless Computing - claims to hide all operational concerns. The promise when using FaaS is that users only have to focus on the core business functionality in form of cloud functions. However, a few configuration options remain within the developer's responsibility. Most of the currently available cloud function offerings force the user to choose a memory or other resource setting and a timeout value. CPU is scaled based on the chosen options. At a first glance, this seems like an easy task, but the tradeoff between performance and cost has implications on the quality of service of a cloud function. Therefore, in this paper we present a local simulation approach for cloud functions and support developers in choosing a suitable configuration. The methodology we propose simulates the execution behavior of cloud functions locally, makes the cloud and local environment comparable and maps the local profiling data to a cloud platform. This reduces time during the development and enables developers to work with their familiar tools. This is especially helpful when implementing multi-threaded cloud functions.","2159-6190","978-1-6654-0060-2","10.1109/CLOUD53861.2021.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582177","Serverless;Function as a Service;FaaS;Benchmarking;Simulation;Profiling","Cloud computing;Costs;Conferences;Computational modeling;Force;FAA;Quality of service","","10","","62","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"HARDLESS: A Generalized Serverless Compute Architecture for Hardware Processing Accelerators","S. Werner; T. Schirmer","ISE, TU Berlin, Germany; MCC & ECDF, TU Berlin, Germany",2022 IEEE International Conference on Cloud Engineering (IC2E),"16 Nov 2022","2022","","","79","84","The increasing use of hardware processing accelerators tailored for specific applications, such as the Vision Processing Unit (VPU) for image recognition, further increases developers' configuration, development, and management over-head. Developers have successfully used fully automated elastic cloud services such as serverless computing to counter these additional efforts and shorten development cycles for applications running on CPUs. Unfortunately, current cloud solutions do not yet provide these simplifications for applications that require hardware acceleration. However, as the development of special-ized hardware acceleration continues to provide performance and cost improvements, it will become increasingly important to enable ease of use in the cloud. In this paper, we present an initial design and implemen-tation of Hardless, an extensible and generalized serverless computing architecture that can support workloads for arbitrary hardware accelerators. We show how Hardless can scale across different commodity hardware accelerators and support a variety of workloads using the same execution and programming model common in serverless computing today.","","978-1-6654-9115-0","10.1109/IC2E55432.2022.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9946318","serverless engineering;accelerated computing","Image recognition;Costs;Processor scheduling;Computational modeling;Serverless computing;Graphics processing units;Computer architecture","","4","","18","IEEE","16 Nov 2022","","","IEEE","IEEE Conferences"
"Serving Deep Learning Models in a Serverless Platform","V. Ishakian; V. Muthusamy; A. Slominski",Bentley University; IBM T.J. Watson Research Center; IBM T.J. Watson Research Center,2018 IEEE International Conference on Cloud Engineering (IC2E),"17 May 2018","2018","","","257","262","Serverless computing has emerged as a compelling paradigm for the development and deployment of a wide range of event based cloud applications. At the same time, cloud providers and enterprise companies are heavily adopting machine learning and Artificial Intelligence to either differentiate themselves, or provide their customers with value added services. In this work we evaluate the suitability of a serverless computing environment for the inferencing of large neural network models. Our experimental evaluations are executed on the AWS Lambda environment using the MxNet deep learning framework. Our experimental results show that while the inferencing latency can be within an acceptable range, longer delays due to cold starts can skew the latency distribution and hence risk violating more stringent SLAs.","","978-1-5386-5008-0","10.1109/IC2E.2018.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360337","AWS Lambda;Cloud Computing;Serverless Computing;Deep Learningm","Machine learning;Cloud computing;Neural networks;Containers;Computational modeling;Delays;Training","","97","","13","IEEE","17 May 2018","","","IEEE","IEEE Conferences"
"Exploiting Serverless Runtimes for Large-Scale Optimization","A. Aytekin; M. Johansson","School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden",2019 IEEE 12th International Conference on Cloud Computing (CLOUD),"29 Aug 2019","2019","","","499","501","Serverless runtimes provide efficient and cost-effective environments for scalable computations, thanks to their event-driven and elastic nature. So far, they have mostly been used for stateless, data parallel and sporadic computations. In this work, we propose exploiting serverless runtimes to solve generic, large-scale optimization problems. To this end, we implement a parallel optimization algorithm for solving a regularized logistic regression problem, and use AWS Lambda for the compute-intensive work. We show that relative speedups up to 256 workers and efficiencies above 70% up to 64 workers can be expected.","2159-6190","978-1-7281-2705-7","10.1109/CLOUD.2019.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814497","serverless;optimization;alternating direction method of multipliers;distributed optimization","","","9","","13","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Towards Anti-Collision Coordination for UAVs with Serverless Edge Computing","T. Pfandzelter; D. Bermbach; R. Vilter; I. Friese; S. Melnyk; Q. Zhou; H. D. Schotten","Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Scalable Software Systems Group, Technische Universität Berlin & Einstein Center Digital Future, Berlin, Germany; Aviation Engineering Group, Technical University of Applied Sciences Wildau, Wildau, Germany; Deutsche Telekom AG, Berlin, Germany; Intelligent Networks, German Research Center for Artificial Intelligence (DFKI), Kaiserslautern, Germany; Intelligent Networks, German Research Center for Artificial Intelligence (DFKI), Kaiserslautern, Germany; Intelligent Networks, German Research Center for Artificial Intelligence (DFKI), Kaiserslautern, Germany",2024 IEEE International Conference on Cloud Engineering (IC2E),"14 Nov 2024","2024","","","247","248","Autonomously flying unmanned aerial vehicles in logistics, agriculture, and other domains will take up considerable airspace in the future. In areas with a high amount of air traffic, ground coordination to detect and mitigate encounters with collision risks is required. We propose a serverless approach to build and deploy such a system using edge computing resources. Serverless abstractions allow domain experts to focus on implementing the application logic while the underlying platform manages constrained resources and low-latency service access.","2694-0825","979-8-3315-2869-0","10.1109/IC2E61754.2024.00035","Bundesministerium für Bildung und Forschung; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749766","serverless;edge computing;UAVs","Autonomous aerial vehicles;Agriculture;Logic;Low latency communication;Edge computing;Logistics","","","","9","IEEE","14 Nov 2024","","","IEEE","IEEE Conferences"
