"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Basu Roy R.; Patel T.; Garg R.; Tiwari D.","Basu Roy, Rohan (57219249946); Patel, Tirthak (57200205359); Garg, Rohan (51963581600); Tiwari, Devesh (23467777300)","57219249946; 57200205359; 51963581600; 23467777300","CodeCrunch: Improving Serverless Performance via Function Compression and Cost-Aware Warmup Location Optimization","2024","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","1","","","85","101","16","4","10.1145/3617232.3624866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191462807&doi=10.1145%2f3617232.3624866&partnerID=40&md5=2f5fba4a622b9b1f006e48d29dd1d5dd","Serverless computing has a critical problem of function cold starts. To minimize cold starts, state-of-the-art techniques predict function invocation times to warm them up. Warmed-up functions occupy space in memory and incur a keep-alive cost, which can become exceedingly prohibitive under bursty load. To address this issue, we design CodeCrunch, which introduces the concept of serverless function compression and exploits server heterogeneity to make serverless computing more efficient, especially under high memory pressure. © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","function compression; serverless computing","Cold-start; Cold-start state; Cost-aware; Critical problems; Function compression; Keep-alive; Location optimization; Performance; Serverless computing; State-of-the-art techniques","Association for Computing Machinery","ACM Special Interest Group on Computer Architecture (SIGARCH); ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Group on Programming Languages (SIGPLAN)","29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2024","27 April 2024 through 1 May 2024","San Diego","198945","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191462807"
"Tomaras D.; Buschjäger S.; Kalogeraki V.; Morik K.; Gunopulos D.","Tomaras, Dimitrios (56781461900); Buschjäger, Sebastian (57194760014); Kalogeraki, Vana (6701914099); Morik, Katharina (6701443861); Gunopulos, Dimitrios (6603923918)","56781461900; 57194760014; 6701914099; 6701443861; 6603923918","STRATA: Random Forests going Serverless","2024","Middleware 2024 - Proceedings of the 25th ACM International Middleware Conference","","","","22","35","13","0","10.1145/3652892.3654791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215519124&doi=10.1145%2f3652892.3654791&partnerID=40&md5=5ff553f9a60b4f037344e833d22fa209","Serverless computing has received growing interest in recent years for supporting large-scale machine learning tasks. However, training a machine learning model in a serverless environment is a nontrivial procedure and several challenges still need to be addressed in the data distribution and result aggregation steps as well as the cost of execution due to the inherent complexity of the distributed computation and the coordination required in the learning algorithm. In this work, we focus on Random Forests, a state-of-the-art technique in many Machine Learning applications. We propose STRATA, a cost-effective middleware to train Random Forests atop a serverless environment that successfully addresses these training challenges. As we show in our extensive experimental evaluation STRATA achieves 3X better training times on average compared to a centralized approach and can withstand up to 70% of failures during training. © 2024 Copyright held by the owner/author(s).","middleware; random forests; serverless","Contrastive Learning; Federated learning; Middleware; Random forests; Data distribution; Distributed computations; Inherent complexity; Large-scale machine learning; Learning tasks; Machine learning applications; Machine learning models; Random forests; Serverless; State-of-the-art techniques; Adversarial machine learning","Association for Computing Machinery, Inc","ACM","25th ACM International Middleware Conference, Middleware 2024","2 December 2024 through 6 December 2024","Hong Kong","205541","Conference paper","Final","","Scopus","2-s2.0-85215519124"
"Jansen M.; Talluri S.; Doekemeijer K.; Tehrany N.; Iosup A.; Trivedi A.","Jansen, Matthijs (57211621736); Talluri, Sacheendra (57200562502); Doekemeijer, Krijn (57719320200); Tehrany, Nick (57760431900); Iosup, Alexandru (23392350500); Trivedi, Animesh (55014115500)","57211621736; 57200562502; 57719320200; 57760431900; 23392350500; 55014115500","Columbo: A Reasoning Framework for Kubernetes' Configuration Space","2025","ICPE 2025 - Proceedings of the 16th ACM/SPEC International Conference on Performance","","","","45","57","12","0","10.1145/3676151.3719374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007285655&doi=10.1145%2f3676151.3719374&partnerID=40&md5=4439a4ee38d25b38d522407dcb46a9f0","Resource managers such as Kubernetes are rapidly evolving to support low-latency and scalable computing paradigms such as serverless and granular computing. As a result, Kubernetes supports dozens of workload deployment models and exposes roughly 1,600 configuration parameters. Previous work has shown that parameter tuning can significantly improve Kubernetes' performance, but identifying which parameters impact performance and should be tuned remains challenging. To help users optimize their Kubernetes deployments, we present Columbo, an offline reasoning framework to detect and resolve performance bottlenecks using configuration parameters. We study Kubernetes and define its workload deployment pipeline of 6 stages and 26 steps. To detect bottlenecks, Columbo uses an analytical model to predict the best-case deployment time of a workload per pipeline stage and compares it to empirical data from a novel benchmark suite. Columbo then uses a rule-based methodology to recommend parameter updates based on the detected bottleneck, deployed workload, and mapping of configurations to pipeline stages. We demonstrate that Columbo reduces workload deployment time across its benchmark suite by 28% on average and 79% at most. We report a total execution time decrease of 17% for data processing with Spark and up to 20% for serverless workflows with OpenWhisk. Columbo is open-source and available at https://github.com/atlarge-research/continuum/tree/columbo. © 2025 Copyright held by the owner/author(s).","configuration tuning; kubernetes; resource management","Distributed computer systems; Enterprise resource management; Granular computing; Memory management; Open Data; Open systems; Benchmark suites; Configuration parameters; Configuration space; Configuration tuning; Deployment time; Kubernetes; Pipeline stages; Reasoning framework; Resource management; Resource managers; Resource allocation","Association for Computing Machinery, Inc","ACM SIGMETRICS; ACM SIGSOFT; SPEC","16th ACM/SPEC International Conference on Performance, ICPE 2025","5 May 2025 through 9 May 2025","Toronto","208715","Conference paper","Final","","Scopus","2-s2.0-105007285655"
"Semjonov A.","Semjonov, Anton (59076662800)","59076662800","Distributed Computation Offloading in Heterogeneous Edge Environments","2024","MIDDLEWARE 2024 - Proceedings of the 25th ACM International Middleware Conference Demos, Posters and Doctoral Symposium, Part of: MIDDLEWARE 2024","","","","31","32","1","0","10.1145/3704440.3704793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216396641&doi=10.1145%2f3704440.3704793&partnerID=40&md5=20dec1a5efeaa85e8e6715064f408e48","The very edge of the rapidly evolving computing continuum is characterized by a wide variety of different hardware architectures, software platforms, and in general diverse device constraints and capabilities. While in-network computing and smaller distributed data centers continue to receive a lot of attention, idle workstations and consumer devices remain an underappreciated and largely untapped computing resource at the edge. This warrants further exploration. My research focuses on leveraging WebAssembly, a portable binary instruction format, and other Web-standard APIs to design, implement and evaluate a novel middleware, to enable distributed computation offloading and context-aware task placement across this vastly heterogeneous resource pool. By employing concepts of volunteer computing in a new context and obviating complex setups, idle edge devices are transformed into a collaborative computational resource. © 2024 Copyright held by the owner/author(s).","collaborative computing; computation offloading; edge computing; serverless computing; webassembly","Middleware; Computation offloading; Distributed computations; Diverse devices; Edge computing; Hardware architecture; In networks; Network computing; Serverless computing; Software platforms; Webassembly; Computation offloading","Association for Computing Machinery, Inc","","25th ACM International Middleware Conference Demos, Posters and Doctoral Symposium, MIDDLEWARE 2024","2 December 2024 through 6 December 2024","Hong Kong","205814","Conference paper","Final","","Scopus","2-s2.0-85216396641"
"","","","HPDC 2024 - Proceedings of the 33rd International Symposium on High-Performance Parallel and Distributed Computing","2024","HPDC 2024 - Proceedings of the 33rd International Symposium on High-Performance Parallel and Distributed Computing","","","","","","426","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204976370&partnerID=40&md5=7ad558382bf05efc34378c0e4508541c","The proceedings contain 47 papers. The topics discussed include: ElasticRoom: multi-tenant DNN inference engine via co-design with resource-constrained compilation and strong priority scheduling; efficient all-to-all collective communication schedules for direct-connect topologies; ESG: pipeline-conscious efficient scheduling of DNN workflows on serverless platforms with shareable GPUs; ETS: deep learning training iteration time prediction based on execution trace sliding window; IDT: intelligent data placement for multi-tiered main memory with reinforcement learning; FaaSKeeper: learning from building serverless services with ZooKeeper as an example; accelerating function-centric applications by discovering, distributing, and retaining reusable context in workflow systems; and Faast: an efficient serverless framework made snapshot-based function response fast.","","","Association for Computing Machinery, Inc","ACM SIGARCH; CORNELIS NETWORKS; E4 COMPUTER ENGINEERING; NEC Laboratories America; VAST","33rd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2024","3 June 2024 through 7 June 2024","Pisa","202382","Conference review","Final","","Scopus","2-s2.0-85204976370"
"Liu Y.; Sun S.; Li Z.; Chen Q.; Gao S.; He B.; Li C.; Guo M.","Liu, Yushi (57489093300); Sun, Shixuan (57204178996); Li, Zijun (57278389100); Chen, Quan (36623232500); Gao, Sen (57853983800); He, Bingsheng (7402047189); Li, Chao (56697637700); Guo, Minyi (7201564780)","57489093300; 57204178996; 57278389100; 36623232500; 57853983800; 7402047189; 56697637700; 7201564780","FaaSGraph: Enabling Scalable, Efficient, and Cost-Effective Graph Processing with Serverless Computing","2024","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","2","","","385","400","15","3","10.1145/3620665.3640361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192178817&doi=10.1145%2f3620665.3640361&partnerID=40&md5=f4436e04ea8d9e9f054793ef962fec6f","Graph processing is widely used in cloud services; however, current frameworks face challenges in efficiency and cost-effectiveness when deployed under the Infrastructure-as-a-Service model due to its limited elasticity. In this paper, we present FaaSGraph, a serverless-native graph computing scheme that enables efficient and economical graph processing through the co-design of graph processing frameworks and serverless computing systems. Specifically, we design a data-centric serverless execution model to efficiently power heavy computing tasks. Furthermore, we carefully design a graph processing paradigm to seamlessly cooperate with the data-centric model. Our experiments show that FaaS-Graph improves end-to-end performance by up to 8.3X and reduces memory usage by up to 52.4% compared to state-of-the-art IaaS-based methods. Moreover, FaaSGraph delivers steady 99%-ile performance in highly fluctuated workloads and reduces monetary cost by 85.7%.  © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","cold start; graph processing; resource sharing; serverless computing","Infrastructure as a service (IaaS); 'current; Cloud services; Cold-start; Computing scheme; Cost effective; Data centric; Graph processing; Resources sharing; Serverless computing; Service modeling; Cost effectiveness","Association for Computing Machinery","ACM Special Interest Group on Computer Architecture (SIGARCH); ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Group on Programming Languages (SIGPLAN)","29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2024","27 April 2024 through 1 May 2024","San Diego","198945","Conference paper","Final","","Scopus","2-s2.0-85192178817"
"Xu C.; Liu Y.; Li Z.; Chen Q.; Zhao H.; Zeng D.; Peng Q.; Wu X.; Zhao H.; Fu S.; Guo M.","Xu, Chuhao (57949219100); Liu, Yiyu (59034942100); Li, Zijun (57278389100); Chen, Quan (36623232500); Zhao, Han (57221191601); Zeng, Deze (24722168400); Peng, Qian (57991583200); Wu, Xueqi (59031541100); Zhao, Haifeng (59032909100); Fu, Senbo (58323876900); Guo, Minyi (7201564780)","57949219100; 59034942100; 57278389100; 36623232500; 57221191601; 24722168400; 57991583200; 59031541100; 59032909100; 58323876900; 7201564780","FaaSMem: Improving Memory Efficiency of Serverless Computing with Memory Pool Architecture","2024","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","3","","","331","348","17","6","10.1145/3620666.3651355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192191592&doi=10.1145%2f3620666.3651355&partnerID=40&md5=cfcd175e233ed523cac6807bb5da55da","In serverless computing, an idle container is not recycled directly, in order to mitigate time-consuming cold container startup. These idle containers still occupy the memory, exasperating the memory shortage of today’s data centers. By offloading their cold memory to remote memory pool could potentially resolve this problem. However, existing offloading policies either hurt the Quality of Service (QoS) or are too coarse-grained in serverless computing scenarios. We therefore propose FaaSMem, a dedicated memory offloading mechanism tailored for serverless computing with memory poor architecture. It is proposed based on our finding that the memory of a serverless container allocated in different s tages h as d ifferent us age pa tterns. Specifically, FaaSMem proposes Page Bucket (Pucket) to segregate the memory pages in different segments, and applies segment-wise offloading policies for them. FaaSMem also proposes a semi-warm period during keep-alive stage, to seek a sweet spot between the offloading effort and the remote access penalty. Experimental results show that FaaSMem reduces the average local memory footprint by 9.9% - 79.8% and improves the container deployment density to 108% - 218%, with negligible 95%-ile latency increase. © 2024 Copyright held by the owner/author(s).","FaaS; Memory Offloading; Memory Pool architecture; Serverless Computing","Lakes; Memory architecture; Quality of service; Datacenter; Faas; Memory efficiency; Memory offloading; Memory pool; Memory pool architecture; Memory shortage; Quality-of-service; Remote memory; Serverless computing; Containers","Association for Computing Machinery","ACM Special Interest Group on Computer Architecture (SIGARCH); ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Group on Programming Languages (SIGPLAN)","29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2024","27 April 2024 through 1 May 2024","San Diego","198945","Conference paper","Final","","Scopus","2-s2.0-85192191592"
"Lu C.; Xu H.; Li Y.; Chen W.; Ye K.; Xu C.","Lu, Chengzhi (57202307477); Xu, Huanle (56081119100); Li, Yudan (59513465500); Chen, Wenyan (57207952267); Ye, Kejiang (35957654600); Xu, Chengzhong (55600419500)","57202307477; 56081119100; 59513465500; 57207952267; 35957654600; 55600419500","SMIless: Serving DAG-based Inference with Dynamic Invocations under Serverless Computing","2024","International Conference for High Performance Computing, Networking, Storage and Analysis, SC","","","","","","","0","10.1109/SC41406.2024.00044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214975837&doi=10.1109%2fSC41406.2024.00044&partnerID=40&md5=4d3a7348c7fb35b3f2cb5bb402695d7c","The deployment of ML serving applications, featuring multiple inference functions on serverless platforms, has gained substantial popularity, leading to numerous developments of new systems. However, these systems often focus on optimizing resource provisioning and cold start management separately, ultimately resulting in higher monetary costs. This paper introduces SMIless, a highly efficient serverless system tailored for serving DAG-based ML inference in heterogeneous environments. SMIless effectively co-optimizes resource configuration and cold-start management in the context of dynamic invocations. This is achieved by seamlessly integrating adaptive pre-warming windows, striking an effective balance between performance and cost. We have implemented SMIless on top of OpenFaaS and conducted extensive evaluations using real-world ML serving applications. The experimental results demonstrate that SMIless can achieve up to a 5.73 × reduction in the overall costs while meeting the SLA requirements for all user requests, surpassing the performance of state-of-the-art solutions. © 2024 IEEE.","DAG-based Inference; Dynamic Invocation; Serverless","Co-optimize; Cold-start; DAG-based inference; Dynamic invocation; Heterogeneous environments; Inference functions; Monetary costs; Performance; Serverless; Serverless systems; Resource allocation","IEEE Computer Society","ACM; ACM�s Special Interest Group on High Performance Computing (SIGHPC); IEEE Technical Committee on High Performance Computing (TCHPC); Institute of Electrical and Electronics Engineers (IEEE) Computer Society","2024 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2024","17 November 2024 through 22 November 2024","Atlanta","205531","Conference paper","Final","","Scopus","2-s2.0-85214975837"
"Parola F.; Qi S.; Narappa A.B.; Ramakrishnan K.K.; Risso F.","Parola, Federico (57226610314); Qi, Shixiong (57219267120); Narappa, Anvaya B. (58908763200); Ramakrishnan, K.K. (7101600362); Risso, Fulvio (7003461626)","57226610314; 57219267120; 58908763200; 7101600362; 7003461626","SURE: Secure Unikernels Make Serverless Computing Rapid and Efficient","2024","SoCC 2024 - Proceedings of the 2024 ACM Symposium on Cloud Computing","","","","668","688","20","0","10.1145/3698038.3698558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215503181&doi=10.1145%2f3698038.3698558&partnerID=40&md5=f5c16663fdb5f1eee1b9dcc96c25d67c","Current serverless platforms introduce non-trivial overheads when chaining and orchestrating loosely-coupled microservices. Containerized function runtimes are also constrained by insufficient isolation and excessive startup time. This motivates our exploration of a more efficient, secure, and rapid serverless design. We describe SURE, a unikernel-based serverless framework for fast function startup, equipped with a high-performance and secure data plane. SURE's data plane supports distributed zero-copy communication via the seamless interaction between zero-copy protocol stack (Z-stack) and local shared memory processing. To establish a lightweight service mesh, SURE uses library-based sidecars instead of individual userspace sidecars. We leverage Intel's Memory Protection Keys (MPK) as a lightweight capability to ensure safe access to the shared memory data plane. It also isolates the Trusted Computing Base (TCB) components in SURE's function runtime (e.g., library-based sidecar, scheduler, etc) from untrusted user code, while preserving the efficient single-address-space nature of unikernels. In particular, SURE prevents unintended privilege escalation involving MPK with an enhanced TCB. These combined efforts create a more secure and robust data plane while improving throughput up to 79X over Knative, a representative open-source serverless platform. © 2024 Owner/Author.","Isolation; MPK; Serverless; Shared memory; Unikernel","Memory architecture; Data planes; Data-plane; Isolation; Memory protection; Memory protection key; Runtimes; Serverless; Shared memory; Unikernel; Zero copy; Trusted computing","Association for Computing Machinery, Inc","ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Groups on Management of Data (SIGMOD); Google; IBM; Microsoft","15th Annual ACM Symposium on Cloud Computing, SoCC 2024","20 November 2024 through 22 November 2024","Redmond","205525","Conference paper","Final","","Scopus","2-s2.0-85215503181"
"Nardelli M.; Russo G.R.","Nardelli, Matteo (57171962700); Russo, Gabriele Russo (57211560923)","57171962700; 57211560923","Function Offloading and Data Migration for Stateful Serverless Edge Computing","2024","ICPE 2024 - Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering","","","","247","257","10","4","10.1145/3629526.3649293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193794086&doi=10.1145%2f3629526.3649293&partnerID=40&md5=63ea5fe2f90372f897625956f4c41aab","Serverless computing and, in particular, Function-as-a-Service (FaaS) have emerged as valuable paradigms to deploy applications without the burden of managing the computing infrastructure. While initially limited to the execution of stateless functions in the cloud, serverless computing is steadily evolving. The paradigm has been increasingly adopted at the edge of the network to support latencysensitive services. Moreover, it is not limited to stateless applications, with functions often recurring to external data stores to exchange partial computation outcomes or to persist their internal state. To the best of our knowledge, several policies to schedule function instances to distributed hosts have been proposed, but they do not explicitly model the data dependency of functions and its impact on performance. In this paper, we study the allocation of functions and associated key-value state in geographically distributed environments. Our contribution is twofold. First, we design a heuristic for function offloading that satisfies performance requirements. Then, we formulate the state migration problem via Integer Linear Programming, taking into account the heterogeneity of data, its access patterns by functions, and the network resources. Extensive simulations demonstrate that our policies allow FaaS providers to effectively support stateful functions and also lead to improved response times.  © 2024 Copyright held by the owner/author(s).","cloud computing; data migration; edge computing; scheduling; serverless","Computation offloading; Cloud-computing; Computing infrastructures; Data dependencies; Data store; Data-migration; Edge computing; Internal state; Partial computation; Performance; Serverless; Integer programming","Association for Computing Machinery, Inc","ACM SIGMETRICS; ACM SIGSOFT; SPEC","15th ACM/SPEC International Conference on Performance Engineering, ICPE 2024","7 May 2024 through 11 May 2024","London","199383","Conference paper","Final","","Scopus","2-s2.0-85193794086"
"Fokaefs M.-E.; Oliveira F.; Ezzati-Jivan N.","Fokaefs, Marios-Eleftherios (24469811300); Oliveira, Filipe (59139908500); Ezzati-Jivan, Naser (55659743600)","24469811300; 59139908500; 55659743600","12th International Workshop on Load Testing and Benchmarking of Software Systems: LTB'24 Chairs' Welcome","2024","ICPE 2024 - Companion of the 15th ACM/SPEC International Conference on Performance Engineering","","","","226","","","0","10.1145/3629527.3651437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193996825&doi=10.1145%2f3629527.3651437&partnerID=40&md5=40bac17152f4b242b2eefe9136a65bbc","It is our great pleasure to welcome you to the twelfth edition of the International Workshop on Load Testing and Benchmarking of Software Systems - LTB 2024, (https://ltb2024.github.io/). This one-day workshop brings together software testing and software performance researchers, practitioners, and tool developers to discuss the challenges and opportunities of conducting research on load testing and benchmarking software systems, including theory, applications, and experiences. LTB 2024 includes 2 keynote talks, 4 research papers, and 2 industry presentations. The topics cover performance of serverless computing, performance and load testing, performance-driven culture, workload generation, workload tracing, benchmarking, and performance verification.  © 2024 Copyright held by the owner/author(s).","","Application programs; Benchmarking; Computation theory; Software testing; Computing load; Computing performance; International workshops; Performance; Research papers; Software performance; Software testings; Software-systems; Testing performance; Theory applications; Load testing","Association for Computing Machinery, Inc","ACM SIGMETRICS; ACM SIGSOFT; SPEC Reaserch","15th ACM/SPEC International Conference on Performance Engineering, ICPE 2024","7 May 2024 through 11 May 2024","London","199384","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85193996825"
"Pfandzelter T.","Pfandzelter, Tobias (57208737730)","57208737730","Serverless Abstractions for Edge Computing in Large Low-Earth Orbit Satellite Networks","2023","Middleware Demos, Posters and Doctoral Symposium 2023: Proceedings of the 24th International Middleware Conference Demos, Posters and Doctoral Symposium, Part of: Middleware 2023","","","","3","6","3","1","10.1145/3626564.3629088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180131155&doi=10.1145%2f3626564.3629088&partnerID=40&md5=d968eec38981a0ca402c9ded3c903aef","Private and public actors are building massive LEO satellite communication networks. Researchers have proposed extending edge computing to satellites for global low-latency access to application services for, e.g., IoT or metaverses. Building applications for this LEO edge means managing services at large scale on highly dynamic infrastructure, in addition to the usual constraints of edge computing. We seek to develop serverless abstractions for LEO edge applications. We introduce virtual testbed tooling that allows researchers, students, and practitioners to become familiar with the unique characteristics of the LEO edge and develop, test, and benchmark real software in a cost-efficient manner. Further, we develop abstractions for state and data management in geo-distributed edge-to-cloud environments. We then integrate these abstractions with a lightweight FaaS platform to allow building stateful yet scalable applications on the LEO edge. Finally, we propose applications for LEO edge computing to guide the evaluation of our design. © 2023 ACM.","edge computing; LEO satellite networks; serverless","Abstracting; Information management; Orbits; Satellite communication systems; Satellites; Software testing; Application services; Edge computing; LEO satellite networks; Leo satellites communications; Low earth orbit satellites; Low latency; Metaverses; Satellite communication networks; Satellite network; Serverless; Edge computing","Association for Computing Machinery, Inc","ACM","24th International Middleware Conference Demos, Posters and Doctoral Symposium, Middleware 2023","11 December 2023 through 15 December 2023","Bologna","194866","Conference paper","Final","","Scopus","2-s2.0-85180131155"
"Mahapatra R.; Ghodrati S.; Ahn B.H.; Kinzer S.; Wang S.-T.; Xu H.; Karthikeyan L.; Sharma H.; Yazdanbakhsh A.; Alian M.; Esmaeilzadeh H.","Mahapatra, Rohan (57113174300); Ghodrati, Soroush (57204894123); Ahn, Byung Hoon (57219505143); Kinzer, Sean (57219506885); Wang, Shu-Ting (57838593600); Xu, Hanyang (57226284190); Karthikeyan, Lavanya (57205462967); Sharma, Hardik (56270881400); Yazdanbakhsh, Amir (36184859000); Alian, Mohammad (57190014688); Esmaeilzadeh, Hadi (6506771295)","57113174300; 57204894123; 57219505143; 57219506885; 57838593600; 57226284190; 57205462967; 56270881400; 36184859000; 57190014688; 6506771295","In-Storage Domain-Specific Acceleration for Serverless Computing","2024","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","2","","","530","548","18","2","10.1145/3620665.3640413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192208327&doi=10.1145%2f3620665.3640413&partnerID=40&md5=fe5fe84eae3455cd47670dc5e224586a","While (I) serverless computing is emerging as a popular form of cloud execution, datacenters are going through major changes: (II) storage dissaggregation in the system infrastructure level and (III) integration of domain-specific accelerators in the hardware level. Each of these three trends individually provide significant benefits; however, when combined the benefits diminish. On the convergence of these trends, the paper makes the observation that for serverless functions, the overhead of accessing dissaggregated storage overshadows the gains from accelerators. Therefore, to benefit from all these trends in conjunction, we propose In-Storage Domain-Specific Acceleration for Serverless Computing (dubbed DSCS-Serverless1). The idea contributes a server-less model that utilizes a programmable accelerator embedded within computational storage to unlock the potential of acceleration in disaggregated datacenters. Our results with eight applications show that integrating a comparatively small accelerator within the storage (DSCS-Serverless) that fits within the storage's power constraints (25 Watts), significantly outperforms a traditional disaggregated system that utilizes NVIDIA RTX 2080 Ti GPU (250 Watts). Further, the work highlights that disaggregation, serverless model, and the limited power budget for computation in storage device require a different design than the conventional practices of integrating microprocessors and FPGAs. This insight is in contrast with current practices of designing computational storage devices that are yet to address the challenges associated with the shifts in datacenters. In comparison with two such conventional designs that use ARM cores or a Xilinx FPGA, DSCS-Serverless provides 3.7× and 1.7× end-to-end application speedup, 4.3× and 1.9× energy reduction, and 3.2× and 2.3× better cost efficiency, respectively. © 2024 Association for Computing Machinery. All rights reserved.","accelerator; computational storage drive (CSD); deep neural network (DNN); disaggregated datacenter; domain specific architecture (DSA); in-storage acceleration; large language model (LLM); neural processing unit (NPU); serverless computing; serverless function; storage systems","Budget control; Computing power; Field programmable gate arrays (FPGA); Integrated circuit design; Virtual storage; Computational storage drive; Datacenter; Deep neural network; Disaggregated datacenter; Domain specific architecture; Domain specific architectures; In-storage acceleration; Language model; Large language model; Neural processing unit; Neural-processing; Processing units; Serverless computing; Serverless function; Storage drives; Storage systems; Deep neural networks","Association for Computing Machinery","ACM Special Interest Group on Computer Architecture (SIGARCH); ACM Special Interest Group on Operating Systems (SIGOPS); ACM Special Interest Group on Programming Languages (SIGPLAN)","29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2024","27 April 2024 through 1 May 2024","San Diego","198945","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85192208327"
"Phung T.S.; Thomas C.; Ward L.; Chard K.; Thain D.","Phung, Thanh Son (57450908900); Thomas, Colin (58727979500); Ward, Logan (55556371700); Chard, Kyle (9132950200); Thain, Douglas (8900976600)","57450908900; 58727979500; 55556371700; 9132950200; 8900976600","Accelerating Function-Centric Applications by Discovering, Distributing, and Retaining Reusable Context in Workflow Systems","2024","HPDC 2024 - Proceedings of the 33rd International Symposium on High-Performance Parallel and Distributed Computing","","","","122","134","12","0","10.1145/3625549.3658663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204938269&doi=10.1145%2f3625549.3658663&partnerID=40&md5=369c7aaec015b2880ec4b7d68c6aa776","Workflow systems provide a convenient way for users to write large-scale applications by composing independent tasks into large graphs that can be executed concurrently on high-performance clusters. In many newer workflow systems, tasks are often expressed as a combination of function invocations in a high-level language. Because necessary code and data are not statically known prior to execution, they must be moved into the cluster at runtime. An obvious way of doing this is to translate function invocations into self-contained executable programs and run them as usual, but this brings a hefty performance penalty: a function invocation now needs to piggyback its context with extra code and data to a remote node, and the remote node needs to take extra time to reconstruct the invocation's context before executing it, both detrimental to lightweight short-running functions.A better solution for workflow systems is to treat functions and invocations as first-class abstractions: subsequent invocations of the same function on a worker node should only pay for the cost of context setup once and reuse the context between different invocations. The remaining problems lie in discovering, distributing, and retaining the reusable context among workers. In this paper, we discuss the rationale and design requirement of these mechanisms to support context reuse, and implement them in TaskVine, a data-intensive distributed framework and execution engine. Our results from executing a large-scale neural network inference application and a molecular design application show that treating functions and invocations as first-class abstractions reduces the execution time of the applications by 94.5% and 26.9%, respectively. © 2024 held by the owner/author(s).","burst buffers; distributed storage; serverless computing; workflow systems","Abstract data types; Artificial intelligence; Buffer storage; Computer software reusability; Integrated circuit design; Problem oriented languages; Program debugging; Burst buffer; Class abstraction; Distributed storage; Independent tasks; Large graphs; Large-scale applications; Remote node; Reuse; Serverless computing; Work-flow systems; Reusability","Association for Computing Machinery, Inc","ACM SIGARCH; CORNELIS NETWORKS; E4 COMPUTER ENGINEERING; NEC Laboratories America; VAST","33rd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2024","3 June 2024 through 7 June 2024","Pisa","202382","Conference paper","Final","","Scopus","2-s2.0-85204938269"
